id;code;libelle_service;message_fr;message_en;attribute_1;attribute_2
1;Tuvalu a;Account deliverables back;b ROI productivity;product violet;Provence-Alpes-Côte instruction Antigua-et-Barbuda;CSS
2;Népal;benchmark RAM;transmit navigating Plastic;b;Assistant impactful b;Buckinghamshire withdrawal synthesizing
3;Chair;payment;b Bike;b;capacity;collaborative backing
4;niches;generation mindshare Awesome;a c;Licensed deposit;Seychelles;l'Abbaye RAM
5;Account Buckinghamshire background;Panama impactful;Concrete actuating;Handmade;Executif Business-focused payment;Saint-Honoré SAS digital
6;Metal teal;Producteur Berkshire solution-oriented;withdrawal Cambridgeshire;Russie Dinar;input streamline;Picardie
7;innovate Developpeur e-commerce;b;digital;invoice attitude;navigate;Garden Midi-Pyrénées monitor
8;action-items withdrawal Industrial;synthesize Poitou-Charentes c;a Nakfa evolve;Shoes;Frozen Account;programming
9;FTP a IB;viral;Provence-Alpes-Côte customized du;Lari Kenyan Credit;Salad;Programmable de Avon
10;a redundant;Borders Falkland;deposit;Bourgogne;Checking;primary Intelligent
